1,512,14.34,0.4989178004,0.0014666908,28.160463,9.386821,1.173353
1,768,21.50,0.4998138258,0.0014642141,28.112911,9.370970,1.171371
1,1152,32.26,0.4999367921,0.0014626065,28.082045,9.360682,1.170085
1,1728,48.38,0.4998162324,0.0014655954,28.139431,9.379810,1.172476
1,2592,72.58,0.5001686206,0.0014635067,28.099329,9.366443,1.170805
1,3888,108.86,0.4996529203,0.0014622695,28.075574,9.358525,1.169816
1,5832,163.30,0.5000185454,0.0014613940,28.058764,9.352921,1.169115
1,8752,245.06,0.5000817515,0.0014612470,28.055942,9.351981,1.168998
1,13128,367.58,0.4990015095,0.0014610422,28.052011,9.350670,1.168834
1,19696,551.49,0.4996570284,0.0014608956,28.049195,9.349732,1.168716
1,29544,827.23,0.4993068445,0.0014661619,28.150309,9.383436,1.172930
1,44320,1240.96,0.5020770608,0.0015325289,29.424555,9.808185,1.226023
1,66480,1861.44,0.4987783460,0.0016327928,31.349621,10.449874,1.306234
1,99720,2792.16,0.4986773655,0.0016209970,31.123143,10.374381,1.296798
1,149584,4188.35,0.4978144383,0.0016155304,31.018183,10.339394,1.292424
2,512,14.34,0.4986778935,0.0014666390,28.159468,9.386489,1.173311
2,768,21.50,0.4993304294,0.0014641915,28.112476,9.370825,1.171353
2,1152,32.26,0.4993259581,0.0014639278,28.107414,9.369138,1.171142
2,1728,48.38,0.4990244545,0.0014997419,28.795044,9.598348,1.199794
2,2592,72.58,0.4991431199,0.0015007883,28.815135,9.605045,1.200631
2,3888,108.86,0.4988605650,0.0014976452,28.754788,9.584929,1.198116
2,5832,163.30,0.4986958802,0.0014897519,28.603236,9.534412,1.191801
2,8752,245.06,0.4998086672,0.0014913025,28.633008,9.544336,1.193042
2,13128,367.58,0.4992742995,0.0014901945,28.611734,9.537245,1.192156
2,19696,551.49,0.4991454035,0.0014894197,28.596858,9.532286,1.191536
2,29544,827.23,0.4992152378,0.0014909863,28.626937,9.542312,1.192789
2,44320,1240.96,0.4996231450,0.0018396027,35.320372,11.773457,1.471682
2,66480,1861.44,0.4997791070,0.0022235245,42.691670,14.230557,1.778820
2,99720,2792.16,0.4995158501,0.0023073165,44.300478,14.766826,1.845853
2,149584,4188.35,0.4993266007,0.0023085074,44.323342,14.774447,1.846806
